cell,run,checkedBy,audience,pullRequest,text
gpt-6-luna-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,,"""the M9 frontend redesign together with changes to ticket workflows and assistant behavior"" - The release-integrating PR says it integrates M9 and adds release notes; the facts do not establish that all listed workflow and assistant changes are part of this release as described in this release-wide claim."
gpt-6-luna-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,245,"""beside matching passage titles in the assistant’s Markdown answer"" - The citation badges are anchored after a cited passage title in sanitized Markdown when that title appears verbatim. The output’s wording could imply general placement beside a matching passage title, omitting that verbatim-title limitation. Also, this item rephrases the delivered Markdown implementation, not the earlier inline-badge implementation that was deferred."
gpt-6-luna-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,245,"""Citations can now appear as numbered badges beside matching titles in assistant answers"" - This repeats the inline citation feature already described above. The facts support the delivered feature, but the output presents it as a separate feature; the facts describe one implementation, not two distinct badge features."
gpt-6-luna-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,218,"""unless the assistant has already checked it"" - The forced check is skipped if a check has already run in this run; the facts do not say an earlier check by the assistant exempts a later retrieval from the force-once check. The check is guaranteed once after retrieval, not necessarily once per retrieval."
gpt-6-luna-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,,"""Version 1.9.0 brings the M9 Frontend Redesign together with the web and assistant changes in this release."" - The facts say the release PR integrates M9 and adds release notes, but do not establish that the separately listed assistant changes are all included in v1.9.0."
gpt-6-luna-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,223,"""unless the ticket match, required information, action, or intent needs clarification"" - The prompt policy allows asking before a write for an ambiguous ticket match, missing required information, a hard-to-reverse action with real doubt about intent, or an uncertain route_ticket suggestion. The output’s “action ... needs clarification” is broader than that stated allowance."
gpt-6-luna-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,245,"""with hover and keyboard-focus previews"" - The release fact for [#245] supports a hover/focus tooltip, but separately calls out keyboard-focus behavior only in [#233]. This phrasing is part of the [#245] claim, whose fact says “hover/focus tooltip” rather than specifically describing keyboard focus. However, it is supported by [#233] and therefore not unsupported overall."
gpt-6-luna-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,235,"""You can count on a rejected change restoring the previous status and showing the error"" - The fact says rejected status changes roll back and surface a snackbar carrying the ProblemDetails code; this summary is supported."
gpt-6-luna-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,236,"""with focus returning to where it was before"" - The command palette fact says Esc restores focus to wherever it was before the palette opened. Supported."
gpt-6-luna-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,223,"""Assistant change confirmations"" - This is titled as a confirmation-policy change, but [#223] explicitly says asking before a write remains legitimate only for genuine user decisions and missing information. The item’s following text describes that qualification, so the heading is not an unsupported claim."
