run,item,kind,axis,verdict,rubric_commit,note
opus-5-out,o5-01,added,A1,pass,a10060f,"""Each run now ends with a `Run metrics` summary"" - the CLI's own output changes on every run; this is released behaviour the operator sees, not test or CI scaffolding."
opus-5-out,o5-01,added,C1,fail,a10060f,"""Adds `Chartula.Core/Observability/` with `IRunMetrics`..."" sits alongside the summary description, the token-attribution sentence, and ""`ReleasePipeline` records both checks' findings in a single call and returns the report on `ReleaseOutcome`"" - eight sentences on one line, the axis's own cited example for this run."
opus-5-out,o5-01,added,C2,pass,a10060f,"""Closes #26 ([#66](https://github.com/goldbarth/chartula/pull/66))"" stands inline at the end of the same bullet."
opus-5-out,o5-01,added,C3,pass,a10060f,"PR #66 is titled ""report what a run does and what it costs""; the entry opens differently (""Each run now ends with a `Run metrics` summary..."") and elaborates independently (`Chartula.Core/Observability/`, `IRunMetrics`, `RunReportFormatter`), so it is written rather than lifted."
opus-5-out,o5-01,added,C4,pass,a10060f,"""Each run now ends with a `Run metrics` summary covering rule-based check runs/findings/claims, thorough check runs/findings/claims and token usage"" - states concretely what is new in every run's output, no heading needed."
opus-5-out,o5-01,added,C5,fail,a10060f,"""Each run now ends with..."" opens on the subject ""Each"", not a verb."
opus-5-out,o5-02,added,A1,pass,a10060f,"""Category presentation is now configurable"" - a new config surface the operator can set; the interface (config file) the tool reads changes."
opus-5-out,o5-02,added,C1,fail,a10060f,"""Category presentation is now configurable... `GroundedFactsFactory` is extracted out of `ReleaseChangelogGenerator` so audience filtering, category ordering and display naming have a single home."" - five sentences of narrative on one feature, a paragraph rather than a line."
opus-5-out,o5-02,added,C2,pass,a10060f,"""Closes #25 ([#65](https://github.com/goldbarth/chartula/pull/65))"" ends the same bullet."
opus-5-out,o5-02,added,C3,pass,a10060f,"PR #65 is titled ""add configuration sections for categories""; the entry is reworded and elaborates on `CategorySettings`, `From(...)` and the `categories` section fields - not a copy."
opus-5-out,o5-02,added,C4,pass,a10060f,"""Category presentation is now configurable alongside the existing `labels`, `factBase` and `faithfulness` sections"" - states the concrete new capability."
opus-5-out,o5-02,added,C5,fail,a10060f,"""Category presentation is now configurable..."" opens on the subject ""Category""."
