pullRequest,gpt-6-luna-disabled,gpt-6-sol-disabled,gpt-6-luna-low,gpt-6-luna-medium,gpt-6-luna-high,gpt-6-sol-low,gpt-6-sol-medium,gpt-6-sol-high,gpt-6-luna-checked-by-gpt-6-luna,gpt-6-sol-checked-by-gpt-6-luna,gpt-6-sol-disabled-no-thorough,gpt-6-sol-disabled-title-only,qwen3-14b-checked-by-granite4.1-guardian-8b,qwen3-14b-checked-by-qwen3-14b
213,0,1,0,0,0,1,0,0,0,1,0,0,0,2
218,1,0,1,2,1,2,0,0,1,2,0,0,0,2
219,2,0,1,0,0,0,0,0,1,3,0,0,0,2
220,0,0,0,0,0,0,0,0,0,0,0,0,0,2
221,1,0,1,0,0,0,0,0,0,0,0,0,0,2
222,0,0,0,0,0,0,0,0,2,2,0,0,0,2
223,2,1,3,2,2,2,2,0,3,0,0,3,0,2
233,3,3,3,2,3,3,3,3,1,1,0,0,0,1
234,0,0,0,1,0,0,0,0,0,0,0,0,0,2
235,0,0,0,1,0,0,1,1,1,1,0,0,1,2
236,0,0,0,0,0,0,0,1,1,0,0,0,1,2
237,0,1,0,2,2,2,1,1,0,2,0,0,1,2
238,0,0,0,0,1,0,0,0,0,0,0,0,0,2
239,0,0,0,0,0,0,0,0,0,1,0,0,0,2
240,0,1,0,0,0,0,0,0,0,0,0,0,0,2
244,0,2,0,0,0,0,1,0,0,1,0,0,2,0
245,1,0,1,0,1,0,0,1,3,1,0,1,1,1
none,0,0,0,0,0,0,0,0,1,1,0,0,1,2
